,0,1,2
159,None,10:00:00,Tuesday
160,None,11:00:00,Tuesday
161,None,12:00:00,Tuesday
162,None,13:00:00,Tuesday
163,None,14:00:00,Tuesday
164,None,15:00:00,Tuesday
165,None,16:00:00,Tuesday
166,None,17:00:00,Tuesday
167,None,18:00:00,Tuesday
168,None,19:00:00,Tuesday
169,None,20:00:00,Tuesday
170,None,21:00:00,Tuesday
171,None,22:00:00,Tuesday
172,None,23:00:00,Tuesday
173,None,00:00:00,Wednesday
174,None,01:00:00,Wednesday
175,None,02:00:00,Wednesday
176,None,03:00:00,Wednesday
177,None,06:00:00,Wednesday
178,None,07:00:00,Wednesday
179,None,08:00:00,Wednesday
180,None,09:00:00,Wednesday
181,None,10:00:00,Wednesday
182,None,11:00:00,Wednesday
183,None,12:00:00,Wednesday
184,None,13:00:00,Wednesday
185,None,14:00:00,Wednesday
186,None,15:00:00,Wednesday
187,None,16:00:00,Wednesday
188,None,18:00:00,Wednesday
189,None,19:00:00,Wednesday
190,None,20:00:00,Wednesday
191,None,21:00:00,Wednesday
192,None,22:00:00,Wednesday
193,None,23:00:00,Wednesday
194,None,01:00:00,Thursday
195,None,03:00:00,Thursday
196,None,04:00:00,Thursday
197,None,05:00:00,Thursday
198,None,06:00:00,Thursday
199,None,07:00:00,Thursday
200,None,08:00:00,Thursday
201,None,09:00:00,Thursday
202,None,10:00:00,Thursday
203,None,14:00:00,Thursday
204,None,15:00:00,Thursday
205,None,16:00:00,Thursday
206,None,17:00:00,Thursday
207,None,18:00:00,Thursday
208,None,19:00:00,Thursday
209,None,20:00:00,Thursday
210,None,21:00:00,Thursday
211,None,22:00:00,Thursday
212,None,23:00:00,Thursday
213,None,00:00:00,Friday
214,None,01:00:00,Friday
215,None,02:00:00,Friday
216,None,03:00:00,Friday
217,None,04:00:00,Friday
218,None,05:00:00,Friday
219,None,06:00:00,Friday
220,None,07:00:00,Friday
221,None,08:00:00,Friday
222,None,09:00:00,Friday
223,None,10:00:00,Friday
224,None,11:00:00,Friday
225,None,12:00:00,Friday
226,None,13:00:00,Friday
227,None,14:00:00,Friday
228,None,15:00:00,Friday
229,None,16:00:00,Friday
230,None,17:00:00,Friday
231,None,18:00:00,Friday
232,None,23:00:00,Friday
233,None,00:00:00,Saturday
234,None,01:00:00,Saturday
235,None,02:00:00,Saturday
236,None,03:00:00,Saturday
237,None,04:00:00,Saturday
238,None,05:00:00,Saturday
239,None,06:00:00,Saturday
240,None,07:00:00,Saturday
241,None,08:00:00,Saturday
242,None,09:00:00,Saturday
243,None,10:00:00,Saturday
244,None,11:00:00,Saturday
245,None,12:00:00,Saturday
246,None,13:00:00,Saturday
247,None,14:00:00,Saturday
248,None,15:00:00,Saturday
249,None,16:00:00,Saturday
250,None,17:00:00,Saturday
251,None,18:00:00,Saturday
252,None,19:00:00,Saturday
253,None,20:00:00,Saturday
254,None,21:00:00,Saturday
255,None,22:00:00,Saturday
256,None,23:00:00,Saturday
257,None,00:00:00,Sunday
258,None,01:00:00,Sunday
259,None,02:00:00,Sunday
260,None,03:00:00,Sunday
261,None,04:00:00,Sunday
262,None,05:00:00,Sunday
263,None,06:00:00,Sunday
264,None,07:00:00,Sunday
265,None,08:00:00,Sunday
266,None,09:00:00,Sunday
267,None,10:00:00,Sunday
268,None,11:00:00,Sunday
269,None,12:00:00,Sunday
270,None,13:00:00,Sunday
271,None,14:00:00,Sunday
272,None,15:00:00,Sunday
273,None,16:00:00,Sunday
274,None,17:00:00,Sunday
275,None,18:00:00,Sunday
276,None,19:00:00,Sunday
277,None,20:00:00,Sunday
278,None,21:00:00,Sunday
279,None,22:00:00,Sunday
280,None,23:00:00,Sunday
281,None,00:00:00,Monday
282,None,01:00:00,Monday
283,None,02:00:00,Monday
284,None,03:00:00,Monday
285,None,04:00:00,Monday
286,None,05:00:00,Monday
287,None,06:00:00,Monday
288,None,07:00:00,Monday
289,None,08:00:00,Monday
290,None,09:00:00,Monday
291,None,10:00:00,Monday
292,None,11:00:00,Monday
293,None,12:00:00,Monday
294,None,13:00:00,Monday
295,None,14:00:00,Monday
296,None,15:00:00,Monday
297,None,16:00:00,Monday
298,None,17:00:00,Monday
299,None,18:00:00,Monday
300,None,19:00:00,Monday
301,None,20:00:00,Monday
302,None,21:00:00,Monday
303,None,22:00:00,Monday
304,None,23:00:00,Monday
305,None,00:00:00,Tuesday
306,None,01:00:00,Tuesday
307,None,02:00:00,Tuesday
308,None,03:00:00,Tuesday
309,None,04:00:00,Tuesday
310,None,05:00:00,Tuesday
311,None,06:00:00,Tuesday
312,None,07:00:00,Tuesday
313,None,08:00:00,Tuesday
314,None,09:00:00,Tuesday
315,None,10:00:00,Tuesday
316,None,11:00:00,Tuesday
317,None,12:00:00,Tuesday
318,None,13:00:00,Tuesday
319,None,14:00:00,Tuesday
320,None,15:00:00,Tuesday
321,None,16:00:00,Tuesday
322,None,17:00:00,Tuesday
323,None,18:00:00,Tuesday
324,None,19:00:00,Tuesday
325,None,20:00:00,Tuesday
326,None,21:00:00,Tuesday
327,None,22:00:00,Tuesday
328,None,23:00:00,Tuesday
329,None,00:00:00,Wednesday
330,None,01:00:00,Wednesday
331,None,02:00:00,Wednesday
332,None,03:00:00,Wednesday
333,None,04:00:00,Wednesday
334,None,05:00:00,Wednesday
335,None,06:00:00,Wednesday
336,None,07:00:00,Wednesday
337,None,08:00:00,Wednesday
338,None,09:00:00,Wednesday
339,None,10:00:00,Wednesday
340,None,11:00:00,Wednesday
341,None,12:00:00,Wednesday
342,None,13:00:00,Wednesday
343,None,14:00:00,Wednesday
344,None,15:00:00,Wednesday
345,None,16:00:00,Wednesday
346,None,17:00:00,Wednesday
347,None,18:00:00,Wednesday
348,None,19:00:00,Wednesday
349,None,20:00:00,Wednesday
350,None,21:00:00,Wednesday
351,None,22:00:00,Wednesday
352,None,23:00:00,Wednesday
353,None,00:00:00,Thursday
354,None,01:00:00,Thursday
355,None,02:00:00,Thursday
356,None,03:00:00,Thursday
357,None,04:00:00,Thursday
358,None,05:00:00,Thursday
359,None,06:00:00,Thursday
360,None,07:00:00,Thursday
361,None,08:00:00,Thursday
362,None,09:00:00,Thursday
363,None,10:00:00,Thursday
364,None,11:00:00,Thursday
365,None,12:00:00,Thursday
366,None,13:00:00,Thursday
367,None,14:00:00,Thursday
368,None,15:00:00,Thursday
369,None,16:00:00,Thursday
370,None,17:00:00,Thursday
371,None,18:00:00,Thursday
372,None,19:00:00,Thursday
373,None,20:00:00,Thursday
374,None,21:00:00,Thursday
375,None,22:00:00,Thursday
376,None,23:00:00,Thursday
377,None,00:00:00,Friday
378,None,01:00:00,Friday
379,None,02:00:00,Friday
380,None,03:00:00,Friday
381,None,04:00:00,Friday
382,None,05:00:00,Friday
383,None,06:00:00,Friday
384,None,07:00:00,Friday
385,None,08:00:00,Friday
386,None,09:00:00,Friday
387,None,10:00:00,Friday
388,None,11:00:00,Friday
389,None,12:00:00,Friday
390,None,13:00:00,Friday
391,None,14:00:00,Friday
392,None,15:00:00,Friday
393,None,16:00:00,Friday
394,None,17:00:00,Friday
395,None,18:00:00,Friday
396,None,19:00:00,Friday
397,None,20:00:00,Friday
398,None,21:00:00,Friday
399,None,22:00:00,Friday
400,None,23:00:00,Friday
401,None,00:00:00,Saturday
402,None,01:00:00,Saturday
403,None,02:00:00,Saturday
404,None,03:00:00,Saturday
405,None,04:00:00,Saturday
406,None,05:00:00,Saturday
407,None,06:00:00,Saturday
408,None,07:00:00,Saturday
409,None,08:00:00,Saturday
410,None,09:00:00,Saturday
411,None,10:00:00,Saturday
412,None,11:00:00,Saturday
413,None,12:00:00,Saturday
414,None,13:00:00,Saturday
415,None,14:00:00,Saturday
416,None,15:00:00,Saturday
417,None,16:00:00,Saturday
418,None,17:00:00,Saturday
419,None,18:00:00,Saturday
420,None,19:00:00,Saturday
421,None,20:00:00,Saturday
422,None,21:00:00,Saturday
423,None,22:00:00,Saturday
424,None,23:00:00,Saturday
425,None,00:00:00,Sunday
426,None,08:00:00,Sunday
427,None,17:00:00,Sunday
428,None,18:00:00,Sunday
429,None,22:00:00,Sunday
430,None,23:00:00,Sunday
431,None,00:00:00,Monday
432,None,01:00:00,Monday
433,None,02:00:00,Monday
434,None,03:00:00,Monday
435,None,04:00:00,Monday
436,None,05:00:00,Monday
437,None,06:00:00,Monday
438,None,10:00:00,Monday
439,None,11:00:00,Monday
440,None,12:00:00,Monday
441,None,13:00:00,Monday
442,None,14:00:00,Monday
443,None,15:00:00,Monday
444,None,16:00:00,Monday
445,None,17:00:00,Monday
446,None,18:00:00,Monday
447,None,19:00:00,Monday
448,None,20:00:00,Monday
449,None,21:00:00,Monday
450,None,22:00:00,Monday
451,None,23:00:00,Monday
452,None,00:00:00,Tuesday
453,None,01:00:00,Tuesday
454,None,02:00:00,Tuesday
455,None,03:00:00,Tuesday
456,None,04:00:00,Tuesday
457,None,05:00:00,Tuesday
458,None,06:00:00,Tuesday
459,None,07:00:00,Tuesday
460,None,08:00:00,Tuesday
461,None,09:00:00,Tuesday
462,None,10:00:00,Tuesday
463,None,11:00:00,Tuesday
464,None,12:00:00,Tuesday
465,None,13:00:00,Tuesday
466,None,14:00:00,Tuesday
467,None,15:00:00,Tuesday
468,None,16:00:00,Tuesday
469,None,17:00:00,Tuesday
470,None,18:00:00,Tuesday
471,None,19:00:00,Tuesday
472,None,20:00:00,Tuesday
473,None,21:00:00,Tuesday
474,None,22:00:00,Tuesday
475,None,23:00:00,Tuesday
476,None,00:00:00,Wednesday
477,None,01:00:00,Wednesday
478,None,02:00:00,Wednesday
479,None,03:00:00,Wednesday
480,None,04:00:00,Wednesday
481,None,05:00:00,Wednesday
482,None,06:00:00,Wednesday
483,None,07:00:00,Wednesday
484,None,08:00:00,Wednesday
485,None,09:00:00,Wednesday
486,None,10:00:00,Wednesday
487,None,11:00:00,Wednesday
488,None,12:00:00,Wednesday
489,None,13:00:00,Wednesday
490,None,14:00:00,Wednesday
491,None,15:00:00,Wednesday
492,None,16:00:00,Wednesday
493,None,17:00:00,Wednesday
494,None,18:00:00,Wednesday
495,None,19:00:00,Wednesday
496,None,20:00:00,Wednesday
497,None,21:00:00,Wednesday
498,None,22:00:00,Wednesday
499,None,23:00:00,Wednesday
500,None,00:00:00,Thursday
501,None,01:00:00,Thursday
502,None,02:00:00,Thursday
503,None,03:00:00,Thursday
504,None,04:00:00,Thursday
505,None,05:00:00,Thursday
506,None,06:00:00,Thursday
507,None,07:00:00,Thursday
508,None,08:00:00,Thursday
509,None,10:00:00,Thursday
510,None,11:00:00,Thursday
511,None,12:00:00,Thursday
512,None,13:00:00,Thursday
513,None,14:00:00,Thursday
514,None,15:00:00,Thursday
515,None,16:00:00,Thursday
516,None,17:00:00,Thursday
517,None,18:00:00,Thursday
518,None,19:00:00,Thursday
519,None,20:00:00,Thursday
520,None,21:00:00,Thursday
521,None,22:00:00,Thursday
522,None,23:00:00,Thursday
523,None,00:00:00,Friday
524,None,01:00:00,Friday
525,None,02:00:00,Friday
526,None,03:00:00,Friday
527,None,04:00:00,Friday
528,None,05:00:00,Friday
529,None,06:00:00,Friday
530,None,07:00:00,Friday
531,None,08:00:00,Friday
532,None,09:00:00,Friday
533,None,10:00:00,Friday
534,None,11:00:00,Friday
535,None,12:00:00,Friday
536,None,13:00:00,Friday
537,None,14:00:00,Friday
538,None,15:00:00,Friday
539,None,16:00:00,Friday
540,None,17:00:00,Friday
541,None,18:00:00,Friday
542,None,19:00:00,Friday
543,None,20:00:00,Friday
544,None,21:00:00,Friday
545,None,22:00:00,Friday
546,None,23:00:00,Friday
547,None,00:00:00,Saturday
548,None,01:00:00,Saturday
549,None,02:00:00,Saturday
550,None,03:00:00,Saturday
551,None,04:00:00,Saturday
552,None,05:00:00,Saturday
553,None,06:00:00,Saturday
554,None,07:00:00,Saturday
555,None,08:00:00,Saturday
556,None,09:00:00,Saturday
557,None,10:00:00,Saturday
558,None,11:00:00,Saturday
559,None,12:00:00,Saturday
560,None,13:00:00,Saturday
561,None,14:00:00,Saturday
562,None,15:00:00,Saturday
563,None,16:00:00,Saturday
564,None,17:00:00,Saturday
565,None,18:00:00,Saturday
566,None,19:00:00,Saturday
567,None,20:00:00,Saturday
568,None,21:00:00,Saturday
569,None,22:00:00,Saturday
570,None,23:00:00,Saturday
571,None,00:00:00,Sunday
572,None,01:00:00,Sunday
573,None,02:00:00,Sunday
574,None,03:00:00,Sunday
575,None,04:00:00,Sunday
576,None,05:00:00,Sunday
577,None,06:00:00,Sunday
578,None,07:00:00,Sunday
579,None,08:00:00,Sunday
580,None,09:00:00,Sunday
581,None,10:00:00,Sunday
582,None,11:00:00,Sunday
583,None,12:00:00,Sunday
584,None,13:00:00,Sunday
585,None,14:00:00,Sunday
586,None,15:00:00,Sunday
587,None,16:00:00,Sunday
588,None,17:00:00,Sunday
589,None,18:00:00,Sunday
590,None,19:00:00,Sunday
591,None,20:00:00,Sunday
592,None,21:00:00,Sunday
593,None,22:00:00,Sunday
594,None,23:00:00,Sunday
595,None,00:00:00,Monday
596,None,01:00:00,Monday
597,None,02:00:00,Monday
598,None,03:00:00,Monday
599,None,04:00:00,Monday
600,None,05:00:00,Monday
601,None,06:00:00,Monday
602,None,07:00:00,Monday
603,None,08:00:00,Monday
604,None,09:00:00,Monday
605,None,10:00:00,Monday
606,None,11:00:00,Monday
607,None,12:00:00,Monday
608,None,13:00:00,Monday
609,None,14:00:00,Monday
610,None,15:00:00,Monday
611,None,16:00:00,Monday
612,None,17:00:00,Monday
613,None,18:00:00,Monday
614,None,19:00:00,Monday
615,None,20:00:00,Monday
616,None,21:00:00,Monday
617,None,22:00:00,Monday
618,None,23:00:00,Monday
619,None,00:00:00,Tuesday
620,None,01:00:00,Tuesday
621,None,02:00:00,Tuesday
622,None,03:00:00,Tuesday
623,None,04:00:00,Tuesday
624,None,05:00:00,Tuesday
625,None,06:00:00,Tuesday
626,None,07:00:00,Tuesday
627,None,08:00:00,Tuesday
628,None,09:00:00,Tuesday
629,None,10:00:00,Tuesday
630,None,11:00:00,Tuesday
631,None,12:00:00,Tuesday
632,None,13:00:00,Tuesday
633,None,14:00:00,Tuesday
634,None,15:00:00,Tuesday
635,None,16:00:00,Tuesday
636,None,17:00:00,Tuesday
637,None,18:00:00,Tuesday
638,None,19:00:00,Tuesday
639,None,20:00:00,Tuesday
640,None,21:00:00,Tuesday
641,None,22:00:00,Tuesday
642,None,23:00:00,Tuesday
643,None,00:00:00,Wednesday
644,None,01:00:00,Wednesday
645,None,02:00:00,Wednesday
646,None,03:00:00,Wednesday
647,None,04:00:00,Wednesday
648,None,05:00:00,Wednesday
649,None,06:00:00,Wednesday
650,None,07:00:00,Wednesday
651,None,08:00:00,Wednesday
652,None,09:00:00,Wednesday
653,None,10:00:00,Wednesday
654,None,11:00:00,Wednesday
655,None,12:00:00,Wednesday
656,None,13:00:00,Wednesday
657,None,14:00:00,Wednesday
658,None,15:00:00,Wednesday
659,None,16:00:00,Wednesday
660,None,17:00:00,Wednesday
661,None,18:00:00,Wednesday
662,None,19:00:00,Wednesday
663,None,20:00:00,Wednesday
664,None,21:00:00,Wednesday
665,None,22:00:00,Wednesday
666,None,23:00:00,Wednesday
667,None,00:00:00,Thursday
668,None,01:00:00,Thursday
669,None,02:00:00,Thursday
670,None,03:00:00,Thursday
671,None,04:00:00,Thursday
672,None,05:00:00,Thursday
673,None,06:00:00,Thursday
674,None,07:00:00,Thursday
675,None,08:00:00,Thursday
676,None,09:00:00,Thursday
677,None,10:00:00,Thursday
678,None,11:00:00,Thursday
679,None,12:00:00,Thursday
680,None,13:00:00,Thursday
681,None,14:00:00,Thursday
682,None,15:00:00,Thursday
683,None,16:00:00,Thursday
684,None,17:00:00,Thursday
685,None,18:00:00,Thursday
686,None,19:00:00,Thursday
687,None,20:00:00,Thursday
688,None,21:00:00,Thursday
689,None,22:00:00,Thursday
690,None,23:00:00,Thursday
691,None,00:00:00,Friday
692,None,01:00:00,Friday
693,None,02:00:00,Friday
694,None,03:00:00,Friday
695,None,04:00:00,Friday
696,None,05:00:00,Friday
697,None,06:00:00,Friday
698,None,07:00:00,Friday
699,None,08:00:00,Friday
700,None,09:00:00,Friday
701,None,10:00:00,Friday
702,None,11:00:00,Friday
703,None,12:00:00,Friday
704,None,13:00:00,Friday
705,None,14:00:00,Friday
706,None,15:00:00,Friday
707,None,16:00:00,Friday
708,None,17:00:00,Friday
709,None,18:00:00,Friday
710,None,19:00:00,Friday
711,None,20:00:00,Friday
712,None,21:00:00,Friday
713,None,22:00:00,Friday
714,None,23:00:00,Friday
715,None,00:00:00,Saturday
716,None,01:00:00,Saturday
717,None,02:00:00,Saturday
718,None,03:00:00,Saturday
719,None,04:00:00,Saturday
720,None,05:00:00,Saturday
721,None,06:00:00,Saturday
722,None,07:00:00,Saturday
723,None,08:00:00,Saturday
724,None,09:00:00,Saturday
725,None,10:00:00,Saturday
726,None,11:00:00,Saturday
727,None,12:00:00,Saturday
728,None,13:00:00,Saturday
729,None,14:00:00,Saturday
730,None,15:00:00,Saturday
731,None,16:00:00,Saturday
732,None,17:00:00,Saturday
733,None,18:00:00,Saturday
734,None,19:00:00,Saturday
735,None,20:00:00,Saturday
736,None,21:00:00,Saturday
737,None,22:00:00,Saturday
738,None,23:00:00,Saturday
739,None,00:00:00,Sunday
740,None,01:00:00,Sunday
741,None,02:00:00,Sunday
742,None,03:00:00,Sunday
743,None,05:00:00,Sunday
744,None,06:00:00,Sunday
745,None,07:00:00,Sunday
746,None,08:00:00,Sunday
747,None,09:00:00,Sunday
748,None,10:00:00,Sunday
749,None,11:00:00,Sunday
750,None,12:00:00,Sunday
751,None,13:00:00,Sunday
752,None,14:00:00,Sunday
753,None,15:00:00,Sunday
754,None,16:00:00,Sunday
755,None,17:00:00,Sunday
756,None,18:00:00,Sunday
757,None,19:00:00,Sunday
758,None,20:00:00,Sunday
759,None,21:00:00,Sunday
760,None,22:00:00,Sunday
761,None,23:00:00,Sunday
762,None,00:00:00,Monday
763,None,01:00:00,Monday
764,None,02:00:00,Monday
765,None,03:00:00,Monday
766,None,04:00:00,Monday
767,None,05:00:00,Monday
768,None,06:00:00,Monday
769,None,07:00:00,Monday
770,None,08:00:00,Monday
771,None,09:00:00,Monday
772,None,10:00:00,Monday
773,None,11:00:00,Monday
774,None,12:00:00,Monday
775,None,13:00:00,Monday
776,None,14:00:00,Monday
777,None,16:00:00,Monday
778,None,17:00:00,Monday
779,None,18:00:00,Monday
780,None,20:00:00,Monday
781,None,21:00:00,Monday
782,None,22:00:00,Monday
783,None,23:00:00,Monday
784,None,00:00:00,Tuesday
785,None,01:00:00,Tuesday
786,None,02:00:00,Tuesday
787,None,03:00:00,Tuesday
788,None,04:00:00,Tuesday
789,None,05:00:00,Tuesday
790,None,06:00:00,Tuesday
791,None,07:00:00,Tuesday
792,None,08:00:00,Tuesday
793,None,09:00:00,Tuesday
794,None,10:00:00,Tuesday
795,None,12:00:00,Tuesday
796,None,13:00:00,Tuesday
797,None,14:00:00,Tuesday
798,None,15:00:00,Tuesday
799,None,16:00:00,Tuesday
800,None,17:00:00,Tuesday
801,None,18:00:00,Tuesday
802,None,19:00:00,Tuesday
803,None,20:00:00,Tuesday
804,None,21:00:00,Tuesday
805,None,22:00:00,Tuesday
806,None,23:00:00,Tuesday
807,None,00:00:00,Wednesday
808,None,01:00:00,Wednesday
809,None,02:00:00,Wednesday
810,None,03:00:00,Wednesday
811,None,04:00:00,Wednesday
812,None,05:00:00,Wednesday
813,None,06:00:00,Wednesday
814,None,07:00:00,Wednesday
815,None,08:00:00,Wednesday
816,None,09:00:00,Wednesday
817,None,10:00:00,Wednesday
818,None,11:00:00,Wednesday
819,None,12:00:00,Wednesday
820,None,13:00:00,Wednesday
821,None,14:00:00,Wednesday
822,None,15:00:00,Wednesday
823,None,16:00:00,Wednesday
824,None,17:00:00,Wednesday
825,None,18:00:00,Wednesday
826,None,19:00:00,Wednesday
827,None,20:00:00,Wednesday
828,None,21:00:00,Wednesday
829,None,22:00:00,Wednesday
830,None,23:00:00,Wednesday
831,None,00:00:00,Thursday
832,None,01:00:00,Thursday
833,None,02:00:00,Thursday
834,None,03:00:00,Thursday
835,None,04:00:00,Thursday
836,None,05:00:00,Thursday
837,None,06:00:00,Thursday
838,None,07:00:00,Thursday
839,None,08:00:00,Thursday
840,None,09:00:00,Thursday
841,None,10:00:00,Thursday
842,None,11:00:00,Thursday
843,None,12:00:00,Thursday
844,None,13:00:00,Thursday
845,None,14:00:00,Thursday
846,None,15:00:00,Thursday
847,None,16:00:00,Thursday
848,None,17:00:00,Thursday
849,None,18:00:00,Thursday
850,None,19:00:00,Thursday
851,None,20:00:00,Thursday
852,None,21:00:00,Thursday
853,None,22:00:00,Thursday
854,None,23:00:00,Thursday
855,None,00:00:00,Friday
856,None,01:00:00,Friday
857,None,02:00:00,Friday
858,None,03:00:00,Friday
859,None,04:00:00,Friday
860,None,05:00:00,Friday
861,None,06:00:00,Friday
862,None,07:00:00,Friday
863,None,08:00:00,Friday
864,None,09:00:00,Friday
865,None,10:00:00,Friday
866,None,11:00:00,Friday
867,None,12:00:00,Friday
868,None,13:00:00,Friday
869,None,14:00:00,Friday
870,None,15:00:00,Friday
871,None,16:00:00,Friday
872,None,17:00:00,Friday
873,None,18:00:00,Friday
874,None,19:00:00,Friday
875,None,20:00:00,Friday
876,None,21:00:00,Friday
877,None,22:00:00,Friday
878,None,23:00:00,Friday
879,None,00:00:00,Saturday
880,None,01:00:00,Saturday
881,None,02:00:00,Saturday
882,None,03:00:00,Saturday
883,None,04:00:00,Saturday
884,None,05:00:00,Saturday
885,None,06:00:00,Saturday
886,None,07:00:00,Saturday
887,None,08:00:00,Saturday
888,None,09:00:00,Saturday
889,None,10:00:00,Saturday
890,None,11:00:00,Saturday
891,None,12:00:00,Saturday
892,None,13:00:00,Saturday
893,None,14:00:00,Saturday
894,None,15:00:00,Saturday
895,None,16:00:00,Saturday
896,None,17:00:00,Saturday
897,None,18:00:00,Saturday
898,None,19:00:00,Saturday
899,None,20:00:00,Saturday
900,None,21:00:00,Saturday
901,None,22:00:00,Saturday
902,None,23:00:00,Saturday
903,None,00:00:00,Sunday
904,None,01:00:00,Sunday
905,None,02:00:00,Sunday
906,None,03:00:00,Sunday
907,None,04:00:00,Sunday
908,None,05:00:00,Sunday
909,None,06:00:00,Sunday
910,None,07:00:00,Sunday
911,None,08:00:00,Sunday
912,None,09:00:00,Sunday
913,None,10:00:00,Sunday
914,None,11:00:00,Sunday
915,None,12:00:00,Sunday
916,None,13:00:00,Sunday
917,None,14:00:00,Sunday
918,None,15:00:00,Sunday
919,None,16:00:00,Sunday
920,None,17:00:00,Sunday
921,None,18:00:00,Sunday
922,None,19:00:00,Sunday
923,None,20:00:00,Sunday
924,None,21:00:00,Sunday
925,None,23:00:00,Sunday
926,Veterans Day,00:00:00,Monday
927,None,01:00:00,Monday
928,None,02:00:00,Monday
929,None,03:00:00,Monday
