,0
1236,271
1237,426
1238,726
1239,910
1240,1366
1241,2222
1242,2918
1243,3413
1244,3724
1245,3949
1246,4076
1247,4729
1248,4880
1249,4435
1250,3749
1251,3381
1252,2809
1253,2150
1254,1533
1255,925
1256,524
1257,293
1258,258
1259,337
1260,771
1261,2496
1262,5529
1263,6752
1264,5787
1265,4699
1266,4271
1267,4314
1268,4603
1269,4816
1270,5449
1271,6238
1272,5761
1273,4022
1274,2874
1275,2362
1276,2098
1277,1342
1278,944
1279,459
1280,303
1281,247
1282,337
1283,781
1284,2601
1285,5639
1286,6768
1287,6116
1288,5215
1289,4315
1290,4497
1291,4799
1292,4884
1293,5234
1294,5665
1295,6428
1296,6092
1297,4317
1298,3137
1299,2647
1300,2194
1301,1523
1302,949
1303,510
1304,342
1305,245
1306,352
1307,759
1308,2638
1309,5816
1310,6995
1311,6071
1312,5228
1313,4570
1314,4809
1315,4839
1316,4837
1317,5290
1318,5621
1319,6116
1320,5813
1321,4314
1322,3077
1323,2691
1324,2297
1325,1568
1326,1020
1327,561
1328,358
1329,279
1330,363
1331,784
1332,2612
1333,5608
1334,7020
1335,6072
1336,5403
1337,4566
1338,4906
1339,5081
1340,5101
1341,5463
1342,5945
1343,6489
1344,6078
1345,4522
1346,3293
1347,2913
1348,2571
1349,1070
1350,591
1351,382
1352,340
1353,381
1354,784
1355,2468
1356,5503
1357,6615
1358,5913
1359,5171
1360,4840
1361,5263
1362,5446
1363,5746
1364,6110
1365,6749
1366,5518
1367,5420
1368,3618
1369,3020
1370,2987
1371,2644
1372,1799
1373,1103
1374,702
1375,588
1376,411
1377,384
1378,748
1379,1274
1380,2192
1381,2953
1382,3648
1383,3971
1384,4618
1385,5161
1386,4986
1387,4919
1388,4819
1389,5085
1390,5231
1391,4788
1392,3288
1393,2746
1394,2616
1395,2489
1396,1917
1397,1341
1398,825
1399,627
1400,339
1401,301
1402,447
1403,667
1404,1029
1405,1613
1406,3179
1407,3642
1408,3770
1409,3924
1410,3696
1411,4329
1412,4135
1413,3938
1414,3243
1415,2731
1416,2319
1417,2093
1418,2350
1419,930
1420,496
1421,273
1422,234
1423,291
1424,802
1425,2518
1426,5506
1427,6393
1428,5800
1429,5064
1430,4442
1431,4544
1432,4777
1433,4810
1434,5310
1435,5678
1436,6334
1437,5914
1438,4179
1439,3076
1440,2478
1441,2159
1442,1399
1443,1006
1444,516
1445,346
1446,253
1447,347
1448,802
1449,2638
1450,7051
1451,6112
1452,5388
1453,4489
1454,4731
1455,4816
1456,4918
1457,5292
1458,5657
1459,6647
1460,6434
1461,4551
1462,3186
1463,2773
1464,2360
1465,1811
1466,2544
1467,381
1468,264
1469,341
1470,783
1471,2612
1472,5900
1473,5922
1474,6888
1475,5345
1476,4536
1477,4757
1478,4961
1479,4967
1480,5346
1481,5867
1482,6605
1483,6074
1484,4557
1485,3177
1486,2788
1487,2416
1488,1946
1489,1056
1490,536
1491,348
1492,273
1493,382
1494,780
1495,2627
1496,5545
1497,6789
1498,6298
1499,5391
1500,4540
1501,5001
1502,5098
1503,5113
1504,5522
1505,5879
1506,6695
1507,6587
1508,4564
1509,3429
1510,2983
1511,3225
1512,2092
1513,1204
1514,629
1515,419
1516,322
1517,375
1518,743
1519,2480
1520,5555
1521,6012
1522,5253
1523,4832
1524,5404
1525,5654
1526,5727
1527,5918
1528,5938
1529,6082
1530,5376
1531,4270
1532,3231
1533,2617
1534,2995
1535,2652
1536,1667
1537,1072
1538,674
1539,526
1540,356
1541,418
1542,713
1543,1192
1544,1881
1545,2687
1546,3421
1547,3724
1548,4465
1549,5009
1550,5163
1551,4621
1552,4807
1553,4983
1554,5327
1555,3137
1556,2678
1557,2911
1558,2716
1559,1860
1560,774
1561,540
1562,321
1563,291
1564,458
1565,759
1566,938
1567,1438
1568,1916
1569,2483
1570,2299
1571,1824
1572,1686
1573,1715
1574,1989
1575,1773
1576,1607
1577,1338
1578,1261
1579,1031
1580,944
1581,982
1582,641
1583,357
1584,268
1585,216
1586,339
1587,794
1588,2139
1589,3902
1590,4433
1591,4265
1592,4057
1593,3599
1594,3761
1595,3866
1596,3882
1597,4205
1598,4400
1599,4685
1600,4208
1601,3516
1602,2520
1603,2131
1604,1983
1605,1684
1606,976
1607,450
1608,314
1609,255
1610,344
1611,789
1612,2531
1613,4867
1614,5263
1615,5325
1616,5137
1617,4582
1618,4202
1619,4396
1620,4519
1621,4890
1622,5139
1623,5242
1624,4913
1625,4415
1626,2880
1627,2425
1628,2273
1629,1746
1630,1007
1631,571
1632,349
1633,245
1634,357
1635,833
1636,2620
1637,5178
1638,5771
1639,5586
1640,5310
1641,4313
1642,4583
1643,4810
1644,5320
1645,5497
1646,6208
1647,5574
1648,4371
1649,3104
1650,2616
1651,2425
1652,1928
1653,1081
1654,590
1655,371
1656,268
1657,356
1658,876
1659,2651
1660,5183
1661,6385
1662,6038
1663,5045
1664,4531
1665,5031
1666,5050
1667,4989
1668,5622
1669,5698
1670,6132
1671,5331
1672,4534
1673,3275
1674,2982
1675,2632
1676,2074
1677,1158
1678,652
1679,411
1680,371
1681,447
1682,781
1683,2508
1684,5412
1685,6507
1686,5595
1687,5113
1688,4868
1689,5297
1690,5480
1691,5407
1692,5519
1693,6002
1694,6185
1695,5545
1696,4555
1697,3598
1698,2868
1699,2819
1700,2890
1701,1828
1702,1147
1703,699
1704,556
1705,385
1706,421
1707,716
1708,1104
1709,1616
1710,2407
1711,3169
1712,3519
1713,3938
1714,4030
1715,4235
1716,4080
1717,4143
1718,4347
1719,4088
1720,2822
1721,2420
1722,2406
1723,2320
1724,1621
1725,1098
1726,704
1727,588
1728,307
1729,271
1730,455
1731,690
1732,964
1733,1616
1734,2300
1735,3021
1736,3473
1737,3552
1738,3657
1739,3547
1740,3884
1741,4130
1742,3775
1743,3076
1744,2597
1745,2186
1746,1945
1747,1476
1748,929
1749,485
1750,306
1751,250
1752,317
1753,801
1754,2543
1755,5665
1756,6520
1757,5663
1758,5053
1759,4384
1760,4589
1761,4814
1762,4994
1763,5122
1764,5694
1765,6195
1766,5590
1767,3996
1768,2953
1769,2391
1770,2018
1771,1385
1772,966
1773,511
1774,332
1775,248
1776,359
1777,812
1778,2528
1779,5814
1780,6656
1781,5843
1782,5303
1783,4918
1784,5198
1785,5316
1786,5433
1787,5785
1788,6120
1789,6493
1790,5915
1791,4570
1792,3467
1793,2855
1794,2549
1795,2137
1796,1295
1797,534
1798,348
1799,278
1800,378
1801,790
1802,2526
1803,5796
1804,6803
1805,5779
1806,5318
1807,4869
1808,4999
1809,5104
1810,5084
1811,5634
1812,5912
1813,6135
1814,5784
1815,4553
1816,3353
1817,2883
1818,2591
1819,2004
1820,1113
1821,641
1822,419
1823,281
1824,391
1825,837
1826,2489
1827,5277
1828,5631
1829,5444
1830,4803
1831,4500
1832,4785
1833,4800
1834,5007
1835,5632
1836,6333
1837,5831
1838,4279
1839,3270
1840,2677
1841,2458
1842,2208
1843,1244
1844,737
1845,436
1846,318
1847,386
1848,739
1849,2242
1850,5014
1851,5982
1852,5315
1853,5000
1854,4985
1855,5409
1856,5578
1857,5806
1858,5999
1859,5968
1860,5264
1861,4605
1862,3725
1863,3058
1864,2795
1865,2724
1866,1843
1867,1227
1868,741
1869,531
1870,407
1871,394
1872,651
1873,1048
1874,1451
1875,2100
1876,3111
1877,3705
1878,4164
1879,4300
1880,4350
1881,4243
1882,4332
1883,4678
1884,4384
1885,3631
1886,3132
1887,2694
1888,2567
1889,2451
1890,1693
1891,1063
1892,685
1893,577
1894,261
1895,401
1896,660
1897,895
1898,1417
1899,2288
1900,2955
1901,3397
1902,3324
1903,3459
1904,3292
1905,3838
1906,4039
1907,3474
1908,3071
1909,2537
1910,2254
1911,2099
1912,1847
1913,1198
1914,664
1915,401
1916,330
1917,250
1918,430
1919,998
1920,1940
1921,2440
1922,2174
1923,2521
1924,3008
1925,3559
1926,3997
1927,3821
1928,4048
1929,4032
1930,3759
1931,3099
1932,2536
1933,1972
1934,2212
1935,2463
1936,2240
1937,1542
1938,803
1939,575
1940,352
1941,191
1942,125
1943,208
1944,432
1945,478
1946,642
1947,1138
1948,1787
1949,2314
1950,2549
1951,2724
1952,2739
1953,2788
1954,2938
1955,2934
1956,2944
1957,2941
1958,2795
1959,2370
1960,1758
1961,1079
1962,539
1963,285
1964,252
1965,275
1966,558
1967,1880
1968,3922
1969,4087
1970,3745
1971,3577
1972,3708
1973,4209
1974,4422
1975,4699
1976,4935
1977,5203
1978,5489
1979,5036
1980,3838
1981,2796
1982,2327
1983,2010
1984,1856
1985,1139
1986,686
1987,418
1988,301
1989,303
1990,625
1991,2085
1992,4313
1993,4795
1994,4285
1995,4181
1996,4177
1997,4434
1998,4791
1999,4920
2000,5212
2001,5352
2002,5652
2003,4654
2004,3629
2005,2651
2006,2387
2007,2134
2008,1971
2009,1182
2010,652
2011,452
2012,346
2013,394
2014,633
2015,1887
2016,3913
2017,4353
2018,3848
2019,3860
2020,3795
2021,4471
2022,4860
2023,5262
2024,5372
2025,5441
2026,4760
2027,4134
2028,3138
2029,2637
2030,2614
2031,2335
2032,1646
2033,1003
2034,670
2035,503
2036,357
2037,399
2038,619
2039,1018
2040,1280
2041,1774
2042,2565
2043,3055
2044,3583
2045,3910
2046,4093
2047,4240
2048,4325
2049,4357
2050,4522
2051,4732
2052,2859
2053,2647
2054,2429
2055,2657
2056,2419
2057,1195
2058,752
2059,586
2060,356
2061,270
2062,415
2063,651
2064,1337
2065,1997
2066,2930
2067,3508
2068,3951
2069,4644
2070,4524
2071,3717
2072,3206
2073,2933
2074,2615
2075,3059
2076,2277
2077,1880
2078,1717
2079,1126
2080,374
2081,341
2082,295
2083,483
2084,1421
2085,3092
2086,3733
2087,3382
2088,3453
2089,3540
2090,4234
2091,4737
2092,4599
2093,4836
2094,4976
2095,4965
2096,4419
2097,3707
2098,3294
2099,2888
2100,2588
2101,2293
2102,1596
2103,1439
2104,1502
2105,933
2106,576
2107,372
2108,419
2109,640
2110,745
2111,939
2112,1243
2113,1747
2114,2291
2115,2588
2116,2927
2117,3012
2118,3121
2119,2864
2120,2606
2121,2298
2122,2154
2123,1732
2124,1589
2125,1235
2126,845
2127,437
2128,295
2129,243
2130,293
2131,717
2132,2353
2133,5366
2134,5829
2135,5110
2136,4417
2137,3892
2138,4100
2139,4383
2140,4370
2141,4661
2142,4836
2143,5597
2144,5191
2145,3756
2146,2687
2147,2240
2148,1828
2149,1424
2150,952
2151,349
2152,276
2153,729
2154,2383
2155,5390
2156,6431
2157,4768
2158,4002
2159,4280
2160,4540
2161,4729
2162,4944
2163,5297
2164,6142
2165,5782
2166,4129
2167,2925
2168,2453
2169,2046
2170,1550
2171,1079
2172,604
2173,353
2174,301
2175,326
2176,675
2177,2195
2178,5263
2179,6380
2180,5761
2181,4844
2182,4327
2183,4787
2184,4880
2185,5026
2186,5315
2187,5636
2188,6256
2189,5900
2190,4353
2191,3135
2192,2674
2193,2463
2194,2064
2195,1517
2196,375
2197,652
2198,1597
2199,2339
2200,3177
2201,3482
2202,3813
2203,4406
2204,4191
2205,4296
2206,4387
2207,4273
2208,4230
2209,3781
2210,2342
2211,1933
2212,1873
2213,2502
2214,1602
2215,951
2216,608
2217,507
2218,318
2219,256
2220,406
2221,709
2222,927
2223,1478
2224,2304
2225,2897
2226,3190
2227,3441
2228,3840
2229,4074
2230,4037
2231,3969
2232,3762
2233,3062
2234,2512
2235,2087
2236,1669
2237,1384
2238,853
2239,442
2240,312
2241,248
2242,278
2243,754
2244,2398
2245,5522
2246,6681
2247,5839
2248,4709
2249,4131
2250,4294
2251,4410
2252,4642
2253,5105
2254,5494
2255,6231
2256,5717
2257,4169
2258,2752
2259,2229
2260,1894
2261,1440
2262,961
2263,489
2264,333
2265,230
2266,314
2267,758
2268,2432
2269,5674
2270,6771
2271,6094
2272,4964
2273,4357
2274,4432
2275,4589
2276,4858
2277,6486
2278,6271
2279,4677
2280,2805
2281,2528
2282,2278
2283,1733
2284,945
2285,531
2286,357
2287,271
2288,773
2289,2456
2290,6852
2291,6234
2292,5061
2293,4243
2294,4677
2295,4753
2296,4780
2297,5217
2298,5447
2299,6394
2300,6139
2301,4465
2302,2952
2303,2603
2304,314
2305,754
2306,4902
2307,5886
2308,4322
2309,2857
2310,2474
2311,2365
2312,1070
2313,557
2314,334
2315,308
2316,322
2317,723
2318,2367
2319,5163
2320,6029
2321,5751
2322,4847
2323,4367
2324,4786
2325,4885
2326,5387
2327,5668
2328,4476
2329,3433
2330,2711
2331,2511
2332,2143
2333,1629
2334,1043
2335,682
2336,518
2337,353
2338,382
2339,644
2340,1142
2341,1696
2342,2624
2343,3377
2344,3600
2345,4017
2346,4538
2347,4556
2348,4547
2349,4557
2350,4338
2351,4170
2352,3789
2353,2627
2354,2352
2355,2304
2356,2101
2357,1807
2358,1049
2359,681
2360,306
2361,199
2362,422
2363,686
2364,951
2365,1444
2366,2983
2367,3498
2368,3907
2369,3644
2370,3687
2371,3400
2372,2363
2373,1943
2374,1718
2375,1274
2376,785
2377,429
2378,265
2379,222
2380,281
2381,735
2382,2368
2383,5427
2384,6579
2385,5908
2386,4673
2387,3943
2388,4217
2389,4509
2390,4532
2391,5170
2392,5554
2393,6414
2394,5964
2395,4203
2396,2859
2397,2298
2398,2065
2399,1347
2400,909
2401,487
2402,325
2403,246
2404,289
2405,731
2406,2432
2407,5434
2408,5916
2409,6179
2410,4189
2411,4497
2412,4884
2413,5136
2414,5627
2415,6493
2416,5739
2417,4491
2418,3043
2419,2828
2420,2331
2421,1433
2422,989
2423,498
2424,330
2425,249
2426,792
2427,2408
2428,4987
2429,5709
2430,5751
2431,5303
2432,4333
2433,4623
2434,4849
2435,4984
2436,5354
2437,5700
2438,6465
2439,6019
2440,4425
2441,3188
2442,2807
2443,3090
2444,2171
2445,542
2446,339
2447,279
2448,299
2449,761
2450,2502
2451,5611
2452,6857
2453,5912
2454,4952
2455,4205
2456,4662
2457,4929
2458,4897
2459,5268
2460,5873
2461,6490
2462,6488
2463,4582
2464,3243
2465,2761
2466,2646
2467,1787
2468,1147
2469,602
2470,355
2471,301
2472,345
2473,712
2474,2316
2475,5157
2476,6439
2477,5727
2478,5023
2479,4367
2480,4813
2481,5398
2482,5474
2483,5953
2484,6514
2485,5927
2486,4792
2487,3503
2488,2799
2489,2669
2490,2311
2491,1659
2492,1021
2493,696
2494,535
2495,353
2496,361
2497,687
2498,1111
2499,1702
2500,2595
2501,3346
2502,3550
2503,4096
2504,4803
2505,4906
2506,4973
2507,4791
2508,4837
2509,4825
2510,4530
2511,3076
2512,2532
2513,3096
2514,3125
2515,784
2516,577
2517,246
2518,419
2519,946
2520,1513
2521,2132
2522,2796
2523,3632
2524,4028
2525,3795
2526,3695
2527,3455
2528,3075
2529,2073
2530,3219
2531,2215
2532,1031
2533,331
2534,270
2535,310
2536,667
2537,1978
2538,4018
2539,4397
2540,3731
2541,3339
2542,3551
2543,4048
2544,4252
2545,4483
2546,4561
2547,4420
2548,2545
2549,2058
2550,1790
2551,1303
2552,859
2553,275
2554,185
2555,719
2556,2424
2557,6256
2558,5693
2559,4031
2560,4176
2561,4551
2562,4747
2563,5459
2564,6331
2565,6111
2566,2774
2567,2593
2568,3209
2569,2538
2570,346
2571,248
2572,312
2573,737
2574,2486
2575,5307
2576,6391
2577,6106
2578,5394
2579,4303
2580,4481
2581,4779
2582,4682
2583,5212
2584,5633
2585,6606
2586,6303
2587,4584
2588,3062
2589,2727
2590,2484
2591,1150
2592,289
2593,254
2594,746
2595,2449
2596,6870
2597,6256
